pmac,pid
BE:28:A9:00:07:75,P303
BE:28:A9:00:00:C5,P386
BE:28:A9:00:07:54,P205
BE:28:A9:00:07:77,P242
BE:28:A9:00:03:97,P218
BE:28:A9:00:02:A5,P124
BE:28:A9:00:05:79,P154
BE:28:A9:00:06:19,P94
BE:28:A9:00:00:9F,P589
BE:28:A9:00:02:B5,P384
BE:28:A9:00:03:C7,P105
BE:28:A9:00:05:88,P81
BE:28:A9:00:03:E3,P427
BE:28:A9:00:05:9C,P118
BE:28:A9:00:05:84,P168
BE:28:A9:00:02:AF,P597
BE:28:25:00:06:44,P532
BE:28:A9:00:07:AB,P36
BE:28:A9:00:07:C9,P211
BE:28:A9:00:07:99,P175
BE:28:A9:00:03:99,P127
BE:28:A9:00:08:90,P250
BE:28:A9:00:09:7C,P488
BE:28:A9:00:08:ED,P574
BE:28:A9:00:00:B7,P137
BE:28:A9:00:02:E1,P464
BE:28:A9:00:00:C2,P531
BE:28:A9:00:05:71,P536
BE:28:25:00:04:E7,P432
BE:28:A9:00:08:F8,P176
BE:28:A9:00:07:CB,P197
BE:28:A9:00:07:3E,P153
BE:28:A9:00:02:C6,P541
BE:28:A9:00:07:5A,P87
BE:28:A9:00:02:B1,P465
BE:28:A9:00:07:51,P271
BE:28:A9:00:07:68,P132
BE:28:25:00:06:34,P171
BE:28:A9:00:07:B2,P456
BE:28:A9:00:05:6D,P526
BE:28:A9:00:06:16,P593
BE:28:A9:00:09:72,P509
BE:28:A9:00:03:EA,P1
BE:28:A9:00:08:92,P548
BE:28:A9:00:03:DC,P146
BE:28:A9:00:06:2D,P102
BE:28:A9:00:03:46,P272
BE:28:A9:00:08:88,P75
BE:28:A9:00:02:E9,P338
BE:28:A9:00:05:A3,P369
BE:28:A9:00:07:AA,P69
BE:28:A9:00:05:70,P80
BE:28:A9:00:03:3E,P66
BE:28:A9:00:09:74,P195
BE:28:A9:00:09:7B,P458
BE:28:A9:00:05:5B,P93
BE:28:A9:00:02:A1,P333
BE:28:A9:00:02:C8,P433
BE:28:25:00:04:E0,P339
BE:28:A9:00:03:4F,P186
BE:28:A9:00:06:2E,P238
BE:28:A9:00:03:D6,P334
BE:28:A9:00:02:D7,P155
BE:28:A9:00:00:B9,P437
BE:28:A9:00:08:FA,P416
BE:28:A9:00:03:E6,P507
BE:28:A9:00:03:8D,P88
BE:28:A9:00:03:90,P506
BE:28:A9:00:06:17,P570
BE:28:A9:00:08:D7,P361
BE:28:A9:00:06:3D,P499
BE:28:A9:00:08:CE,P572
BE:28:A9:00:02:EA,P298
BE:28:A9:00:03:39,P314
BE:28:A9:00:07:64,P62
BE:28:A9:00:07:95,P30
BE:28:A9:00:03:31,P405
BE:28:A9:00:02:D3,P343
BE:28:A9:00:07:98,P326
BE:28:A9:00:03:53,P345
BE:28:A9:00:07:3F,P198
BE:28:A9:00:07:47,P601
BE:28:A9:00:05:A0,P253
BE:28:A9:00:09:67,P439
BE:28:A9:00:02:A2,P149
BE:28:A9:00:02:DA,P215
BE:28:A9:00:05:AA,P78
BE:28:A9:00:02:90,P310
BE:28:A9:00:05:97,P562
BE:28:A9:00:05:9F,P151
BE:28:A9:00:08:8C,P150
BE:28:A9:00:07:5E,P440
BE:28:A9:00:09:85,P275
BE:28:A9:00:02:CA,P325
BE:28:A9:00:03:32,P426
BE:28:A9:00:07:72,P322
BE:28:A9:00:05:62,P290
BE:28:A9:00:05:95,P558
BE:28:A9:00:07:5B,P294
BE:28:A9:00:03:D2,P353
BE:28:A9:00:00:AA,P29
BE:28:A9:00:05:5A,P95
BE:28:A9:00:00:9D,P268
BE:28:A9:00:03:CE,P445
BE:28:A9:00:03:2F,P177
BE:28:A9:00:08:80,P121
BE:28:25:00:04:08,P429
BE:28:A9:00:00:BE,P419
BE:28:A9:00:02:A9,P513
BE:28:A9:00:00:A4,P534
BE:28:A9:00:03:98,P443
BE:28:A9:00:03:C0,P125
BE:28:A9:00:07:6E,P19
BE:28:A9:00:08:D8,P91
BE:28:A9:00:08:E2,P454
BE:28:A9:00:02:BF,P474
BE:28:A9:00:09:76,P182
BE:28:25:00:04:F1,P496
BE:28:A9:00:06:2F,P552
BE:28:A9:00:07:97,P424
BE:28:A9:00:09:93,P111
BE:28:A9:00:00:AC,P196
BE:28:A9:00:00:B8,P398
BE:28:A9:00:03:29,P32
BE:28:A9:00:07:59,P447
BE:28:A9:00:08:EA,P65
BE:28:A9:00:07:56,P500
BE:28:25:00:04:05,P22
BE:28:A9:00:08:86,P156
BE:28:A9:00:05:67,P428
BE:28:A9:00:05:AC,P148
BE:28:A9:00:06:1F,P487
BE:28:A9:00:07:43,P584
BE:28:A9:00:09:75,P131
BE:28:A9:00:03:35,P493
BE:28:A9:00:00:C8,P43
BE:28:A9:00:07:A2,P79
BE:28:A9:00:03:BA,P473
BE:28:A9:00:08:D9,P297
BE:28:A9:00:03:8F,P539
BE:28:A9:00:02:B0,P543
BE:28:A9:00:09:90,P188
BE:28:A9:00:02:9D,P97
BE:28:A9:00:02:DE,P44
BE:28:A9:00:07:49,P554
BE:28:A9:00:03:BC,P512
BE:28:A9:00:07:CF,P39
BE:28:A9:00:03:55,P411
BE:28:A9:00:08:9B,P515
BE:28:A9:00:07:7E,P25
BE:28:A9:00:06:22,P308
BE:28:A9:00:05:77,P385
BE:28:A9:00:02:ED,P2
BE:28:A9:00:07:42,P104
BE:28:A9:00:00:B2,P142
BE:28:A9:00:03:E4,P262
BE:28:A9:00:06:27,P318
BE:28:A9:00:07:9F,P50
BE:28:A9:00:00:AD,P199
BE:28:A9:00:03:BE,P362
BE:28:A9:00:03:DD,P591
